donor_id,acquisition_channel,cause,gender,age,socioeconomic_level,initial_amount,current_amount,amount_variance,amount_trend_monthly_pct,spontaneous_upgrade,optimal_upgrade_amount,elasticity_score,months_active,successful_payments,failed_payments,payment_success_rate,consecutive_failed_payments,recency_days,emails_sent,emails_opened,emails_clicked,email_open_rate,email_click_rate,last_email_open_days,last_non_transactional_interaction_days,rfm_recency,rfm_frequency,rfm_monetary,complaint_history,pause_requests,previous_upgrade_requests,upgrade_accepted,upgrade_acceptance_rate,months_since_last_upgrade_request,experiment_group,optimal_intervention_month,upgrade_response,churned,uplift_segment
DON-0001,online,infancia,M,59,medio,15.93,18.31,0.25,0.0057,0,4.52,0.2468,26,24,2,0.9231,0,66,24,5,2,0.2298,0.1168,7,4,66,9.2,6.1676,2,0,0,0,,,1,10,0,0,persuadable
DON-0002,telefono,infancia,M,46,bajo,3.8,6.46,0.02,0.0212,1,1.44,0.2228,33,31,2,0.9394,1,50,28,7,2,0.2765,0.1024,23,20,50,9.4,5.3668,0,0,3,1,0.3333,14.0,1,7,1,1,persuadable
DON-0003,evento,emergencias,M,34,alto,115.31,200.79,0.94,0.0337,1,94.98,0.473,22,13,9,0.5909,0,18,20,15,8,0.7576,0.4007,4,68,18,5.9,8.3935,1,1,0,0,,,1,8,0,0,sure_thing
DON-0004,evento,infancia,F,47,bajo,5.01,6.15,0.38,0.0228,1,1.57,0.255,10,9,1,0.9,0,1,9,2,0,0.3298,0.0342,58,3,1,9.0,4.1352,0,0,0,0,,,1,6,1,0,persuadable
DON-0005,calle,infancia,F,36,medio,21.51,26.66,0.95,0.0217,1,5.73,0.2149,11,11,0,1.0,1,12,11,1,0,0.1489,0.0318,35,44,12,10.0,5.6845,0,0,2,1,0.5,4.0,1,8,0,0,sure_thing
DON-0006,calle,educacion,M,32,medio,21.67,25.15,0.52,0.007,0,5.71,0.2271,23,19,4,0.8261,1,3,26,10,3,0.4104,0.1336,6,31,3,8.3,6.3621,1,0,1,1,1.0,21.0,0,12,0,1,persuadable
DON-0007,calle,medio_ambiente,F,26,medio,25.0,15.88,0.51,-0.0166,0,2.87,0.1806,22,15,7,0.6818,2,19,20,7,1,0.3608,0.0667,37,16,19,6.8,5.859,0,0,2,1,0.5,15.0,1,9,0,1,persuadable
DON-0008,referido,educacion,F,19,medio_alto,42.85,25.45,4.15,-0.0239,0,9.28,0.3645,17,15,2,0.8824,0,4,18,4,0,0.2395,0.0146,2,63,4,8.8,6.0722,0,0,3,0,0.0,11.0,1,5,1,0,persuadable
DON-0009,evento,infancia,M,36,bajo,3.52,2.41,0.37,-0.0112,0,0.65,0.2705,28,24,4,0.8571,0,13,31,16,2,0.5189,0.0826,44,2,13,8.6,4.2265,0,0,0,0,,,1,4,1,0,persuadable
DON-0010,evento,medio_ambiente,M,44,medio,27.17,26.27,1.18,-0.0025,0,6.74,0.2565,13,11,2,0.8462,0,4,11,4,0,0.3883,0.0479,20,30,4,8.5,5.8363,0,0,3,3,1.0,11.0,1,6,1,0,persuadable
DON-0011,calle,infancia,F,40,medio_alto,35.84,63.87,1.33,0.0602,1,24.96,0.3908,13,10,3,0.7692,0,4,15,8,2,0.5925,0.1501,3,31,4,7.7,6.723,0,0,2,1,0.5,13.0,1,4,0,0,sure_thing
DON-0012,telefono,infancia,otro,36,medio_alto,59.0,140.36,5.0,0.0475,1,58.17,0.4144,29,28,1,0.9655,0,5,24,16,6,0.6717,0.2664,23,4,5,9.7,8.3118,0,0,0,0,,,0,5,0,0,sure_thing
DON-0013,referido,emergencias,M,29,medio_bajo,6.18,4.64,0.43,-0.0078,0,1.0,0.2155,32,29,3,0.9062,1,0,37,8,1,0.2298,0.029,6,6,0,9.1,5.0072,0,1,3,2,0.6667,26.0,0,9,0,0,persuadable
DON-0014,calle,infancia,M,49,medio_alto,58.54,87.42,1.5,0.0235,1,32.91,0.3765,21,18,3,0.8571,0,25,18,6,0,0.3794,0.0286,33,23,25,8.6,7.5158,0,0,3,2,0.6667,13.0,1,5,1,0,persuadable
DON-0015,calle,salud,M,24,medio_alto,28.19,36.28,0.12,0.008,0,13.56,0.3737,36,35,1,0.9722,0,7,33,8,1,0.2594,0.0309,36,34,7,9.7,7.1756,0,0,2,2,1.0,16.0,0,4,0,0,persuadable
DON-0016,calle,medio_ambiente,F,52,medio_alto,33.09,47.22,2.42,0.0171,0,17.16,0.3634,25,22,3,0.88,1,23,26,13,1,0.5296,0.0443,42,2,23,8.8,7.0745,0,0,3,2,0.6667,9.0,1,8,1,0,persuadable
DON-0017,online,medio_ambiente,M,28,medio,10.93,10.72,0.1,-0.0065,0,2.73,0.2547,3,3,0,1.0,0,21,3,0,0,0.2474,0.0978,67,0,21,10.0,3.5013,0,0,0,0,,,1,5,1,0,persuadable
DON-0018,online,educacion,M,32,medio,24.1,33.41,0.02,0.0773,1,9.09,0.272,5,5,0,1.0,0,1,4,1,0,0.4201,0.0951,31,9,1,10.0,5.1243,0,1,0,0,,,1,5,0,0,sure_thing
DON-0019,online,infancia,F,22,alto,177.54,236.07,16.45,0.0659,1,104.63,0.4432,5,5,0,1.0,0,7,5,0,0,0.1323,0.0306,20,30,7,10.0,7.0744,0,0,0,0,,,0,4,0,0,sure_thing
DON-0020,calle,salud,F,35,medio_alto,40.19,41.66,1.73,0.0012,0,15.52,0.3724,30,25,5,0.8333,1,16,32,21,0,0.6577,0.018,57,1,16,8.3,7.1315,0,0,3,2,0.6667,5.0,0,7,0,0,persuadable
DON-0021,evento,emergencias,M,54,medio,28.57,24.96,3.17,-0.0079,0,5.06,0.2026,16,16,0,1.0,2,50,13,4,0,0.3259,0.0217,69,59,50,10.0,5.9924,0,0,2,1,0.5,15.0,1,8,0,0,persuadable
DON-0022,calle,salud,M,48,medio_bajo,10.9,24.07,0.36,0.0378,1,5.48,0.2275,32,29,3,0.9062,1,10,31,10,3,0.3503,0.1021,45,7,10,9.1,6.648,0,0,0,0,,,1,7,0,1,sure_thing
DON-0023,calle,emergencias,F,54,medio,22.6,18.44,2.95,-0.0263,0,3.43,0.1862,7,5,2,0.7143,1,14,6,0,0,0.0902,0.0244,85,66,14,7.1,4.8681,0,1,3,1,0.3333,5.0,0,9,0,0,persuadable
DON-0024,online,infancia,M,48,medio,26.91,43.09,0.59,0.0354,1,10.92,0.2534,17,16,1,0.9412,0,27,15,4,0,0.2807,0.0545,116,10,27,9.4,6.5979,0,0,1,0,0.0,14.0,1,5,0,0,sure_thing
DON-0025,online,medio_ambiente,M,27,medio_bajo,7.97,9.73,0.51,0.0138,0,2.62,0.2696,16,16,0,1.0,0,32,17,6,2,0.3959,0.1316,8,19,32,10.0,5.0542,0,0,0,0,,,1,4,1,0,persuadable
DON-0026,referido,infancia,F,37,medio_bajo,8.54,4.03,0.15,-0.033,0,0.97,0.2415,16,16,0,1.0,1,51,18,7,0,0.4151,0.0178,6,29,51,10.0,4.1817,0,0,0,0,,,1,7,1,0,persuadable
DON-0027,calle,educacion,M,31,medio_alto,56.71,59.8,0.0,0.0054,0,19.52,0.3264,10,8,2,0.8,2,13,10,5,0,0.5241,0.0258,17,19,13,8.0,6.3953,0,0,0,0,,,0,9,0,0,persuadable
DON-0028,online,emergencias,F,59,bajo,7.5,6.77,0.18,-0.0097,0,1.52,0.225,10,8,2,0.8,0,4,11,1,0,0.1103,0.0145,173,1,4,8.0,4.2297,2,1,1,1,1.0,5.0,1,10,0,0,persuadable
DON-0029,evento,infancia,F,26,medio_alto,59.18,77.64,3.96,0.0149,0,31.11,0.4006,21,17,4,0.8095,0,28,17,11,1,0.6589,0.1041,2,107,28,8.1,7.3972,0,0,2,1,0.5,13.0,0,6,0,0,persuadable
DON-0030,calle,salud,M,53,medio_bajo,14.02,19.61,0.11,0.0117,0,4.89,0.2492,34,29,5,0.8529,0,2,27,8,1,0.3098,0.0383,37,15,2,8.5,6.5039,0,0,3,2,0.6667,3.0,0,5,0,0,persuadable
DON-0031,evento,infancia,M,53,medio,12.55,1.0,0.44,-0.0304,0,0.21,0.211,33,32,1,0.9697,2,10,38,16,1,0.4345,0.0478,57,6,10,9.7,3.5264,0,0,1,1,1.0,9.0,1,6,0,0,persuadable
DON-0032,calle,salud,F,65,bajo,7.12,7.11,0.08,-0.0,0,2.02,0.2847,31,29,2,0.9355,0,19,35,20,6,0.599,0.1717,169,6,19,9.4,5.4,0,0,3,1,0.3333,4.0,0,3,0,0,persuadable
DON-0033,calle,medio_ambiente,F,36,medio_bajo,9.1,12.32,0.04,0.0272,1,3.17,0.2572,13,13,0,1.0,1,23,10,5,1,0.5721,0.1642,29,165,23,10.0,5.0824,0,0,1,1,1.0,12.0,1,6,0,0,sure_thing
DON-0034,telefono,emergencias,F,51,medio_alto,59.68,88.69,2.87,0.0324,1,31.97,0.3605,15,13,2,0.8667,1,26,14,7,0,0.5114,0.0241,14,5,26,8.7,7.1939,0,0,1,0,0.0,8.0,1,7,0,0,sure_thing
DON-0035,telefono,salud,F,71,medio_alto,41.53,40.46,6.3,-0.0009,0,14.3,0.3533,29,26,3,0.8966,1,4,32,13,2,0.4162,0.0845,5,19,4,9.0,7.0685,0,0,3,1,0.3333,16.0,0,8,0,0,persuadable
DON-0036,referido,medio_ambiente,M,33,medio_bajo,10.54,15.79,0.2,0.0237,1,4.49,0.2844,21,20,1,0.9524,0,79,17,9,3,0.582,0.1766,120,3,79,9.5,5.8069,1,1,3,2,0.6667,11.0,1,7,0,0,sure_thing
DON-0037,online,infancia,F,22,medio,20.6,30.98,0.9,0.018,0,5.77,0.1861,28,26,2,0.9286,2,3,25,5,1,0.2184,0.0484,77,59,3,9.3,6.7667,0,0,3,2,0.6667,23.0,1,7,0,0,persuadable
DON-0038,calle,infancia,M,18,medio,16.43,17.95,2.52,0.0084,0,4.52,0.2518,11,10,1,0.9091,0,2,11,3,0,0.2912,0.0188,48,40,2,9.1,5.2905,0,0,2,1,0.5,3.0,1,4,1,0,persuadable
DON-0039,evento,infancia,F,51,medio_alto,27.63,47.45,1.45,0.0239,1,17.05,0.3594,30,26,4,0.8667,0,21,35,7,0,0.2005,0.0162,86,34,21,8.7,7.2616,0,0,0,0,,,1,7,0,0,sure_thing
DON-0040,online,infancia,M,18,medio_alto,56.35,22.33,3.15,-0.0178,0,8.09,0.3621,34,30,4,0.8824,0,48,38,8,1,0.2151,0.0371,1,87,48,8.8,6.6336,0,0,1,0,0.0,22.0,1,6,0,0,persuadable
DON-0041,calle,educacion,M,37,medio,26.05,27.36,0.26,0.01,0,7.01,0.2562,5,4,1,0.8,0,16,5,2,0,0.4218,0.1542,29,38,16,8.0,4.9258,0,0,0,0,,,0,4,0,0,persuadable
DON-0042,online,salud,F,47,medio_alto,29.88,1.0,1.01,-0.0381,0,0.36,0.3583,34,32,2,0.9412,0,18,31,4,1,0.1305,0.0341,9,140,18,9.4,3.5553,0,2,3,2,0.6667,30.0,0,4,0,0,persuadable
DON-0043,calle,salud,F,44,medio_alto,52.19,55.25,1.19,0.0084,0,20.49,0.3709,7,6,1,0.8571,0,15,7,2,0,0.3229,0.0691,43,43,15,8.6,5.9604,0,0,3,0,0.0,2.0,1,6,0,0,persuadable
DON-0044,telefono,infancia,M,47,bajo,6.13,9.36,0.2,0.0528,1,1.94,0.2077,10,9,1,0.9,1,0,8,1,0,0.1568,0.041,3,19,0,9.0,4.5497,0,0,1,1,1.0,5.0,1,10,1,0,sure_thing
DON-0045,calle,educacion,M,44,medio,18.18,18.3,1.47,0.0004,0,4.9,0.2678,16,16,0,1.0,0,22,19,7,1,0.3782,0.0756,8,1,22,10.0,5.6829,0,0,1,1,1.0,5.0,1,4,1,0,persuadable
DON-0046,evento,educacion,F,58,alto,88.1,110.02,2.72,0.0498,1,50.53,0.4592,5,5,0,1.0,1,8,4,2,0,0.5924,0.1232,56,58,8,10.0,6.3119,0,0,0,0,,,1,8,0,0,sure_thing
DON-0047,online,infancia,F,29,medio_alto,55.09,56.37,0.18,0.0009,0,21.8,0.3868,26,25,1,0.9615,0,54,27,10,2,0.3984,0.0811,41,21,54,9.6,7.2907,0,0,1,1,1.0,2.0,0,5,0,0,persuadable
DON-0048,online,educacion,M,33,medio,24.0,15.89,2.83,-0.0225,0,4.43,0.279,15,14,1,0.9333,0,4,17,9,1,0.5432,0.0949,144,41,4,9.3,5.4779,2,0,1,0,0.0,12.0,1,7,1,0,persuadable
DON-0049,online,salud,M,31,medio,20.95,40.41,0.82,0.03,1,10.74,0.2658,31,28,3,0.9032,0,7,24,10,5,0.4356,0.2141,30,94,7,9.0,7.1339,0,0,3,1,0.3333,11.0,0,4,0,0,sure_thing
DON-0050,calle,infancia,M,52,medio,22.19,27.5,2.87,0.0239,1,6.67,0.2425,10,7,3,0.7,0,14,11,4,1,0.365,0.1242,10,0,14,7.0,5.6204,1,0,1,0,0.0,2.0,1,9,0,0,sure_thing
DON-0051,telefono,medio_ambiente,F,53,medio,11.82,42.86,0.5,0.0796,1,10.97,0.256,33,32,1,0.9697,0,12,31,8,3,0.2839,0.106,23,64,12,9.7,7.2552,0,1,2,2,1.0,7.0,0,4,0,0,sure_thing
DON-0052,referido,medio_ambiente,F,47,medio_alto,41.59,19.02,0.15,-0.0194,0,7.42,0.3899,28,22,6,0.7857,0,10,26,14,1,0.5704,0.0601,86,25,10,7.9,6.2796,0,0,0,0,,,0,4,0,0,persuadable
DON-0053,telefono,infancia,F,57,medio,13.87,19.61,0.56,0.0207,1,5.64,0.2874,20,18,2,0.9,0,7,17,11,1,0.6543,0.0713,31,5,7,9.0,5.9743,0,0,0,0,,,1,4,1,0,persuadable
DON-0054,referido,emergencias,F,26,medio_alto,32.29,46.34,1.38,0.0218,1,17.96,0.3876,20,17,3,0.85,0,3,22,10,3,0.4962,0.154,63,39,3,8.5,6.8328,1,0,2,0,0.0,17.0,0,9,0,0,sure_thing
DON-0055,evento,educacion,M,63,medio_alto,48.15,66.24,0.58,0.0417,1,23.62,0.3566,9,9,0,1.0,0,34,10,0,0,0.0655,0.0103,0,34,34,10.0,6.3922,0,0,1,0,0.0,4.0,1,4,1,0,persuadable
DON-0056,telefono,salud,F,61,medio_bajo,14.11,20.69,0.45,0.0259,1,5.74,0.2774,18,17,1,0.9444,0,11,14,7,2,0.5187,0.1478,13,83,11,9.4,5.9227,0,0,3,2,0.6667,6.0,1,5,1,0,persuadable
